tx_hash,sender,receiver,value_eth,token_symbol,value_token,timestamp
0xe80790cb69b21eb079a934929df29b4498185cf04b1c3c47f0846106f39ab81e,0x2381723118870257c5ea6183281724930247afea,0xd51a44d3fae010294c616388b506acda1bfaae46,0.0,WETH,3.4737767415368714,2024-01-14 18:02:47
0xe80790cb69b21eb079a934929df29b4498185cf04b1c3c47f0846106f39ab81e,0x2381723118870257c5ea6183281724930247afea,0xd51a44d3fae010294c616388b506acda1bfaae46,0.0,USDT,8687.318547,2024-01-14 18:02:47
0xf996e9f10152828ca69168c250e016c1df502bf9c4777021ed37715e20799754,0x2381723118870257c5ea6183281724930247afea,0xe592427a0aece92de3edee1f18e0157c05861564,0.0,DAI,8695.260797338344,2024-01-14 17:37:35
0xf996e9f10152828ca69168c250e016c1df502bf9c4777021ed37715e20799754,0x2381723118870257c5ea6183281724930247afea,0xe592427a0aece92de3edee1f18e0157c05861564,0.0,WETH,3.464393572614429,2024-01-14 17:37:35
0x089450c240f9092906d9ae4104a8b8444cc11fe9473fcedc79216ad0b56e1801,0x2381723118870257c5ea6183281724930247afea,0xe592427a0aece92de3edee1f18e0157c05861564,0.0,DAI,9151.686431308128,2024-01-14 12:58:11
0x089450c240f9092906d9ae4104a8b8444cc11fe9473fcedc79216ad0b56e1801,0x2381723118870257c5ea6183281724930247afea,0xe592427a0aece92de3edee1f18e0157c05861564,0.0,WETH,3.652056951063281,2024-01-14 12:58:11
0xf4796eeedc891b98a2d149051bac212af1e105bbee25a6a8bb7376513e4a843d,0x2381723118870257c5ea6183281724930247afea,0x1111111254eeb25477b68fb85ed929f73a960582,0.0,WETH,0.1,2024-01-14 11:47:11
0x9d2fa1fc0fcc4f408bf8f4ca7d7923a93299bbef99ddabe4764d486c297753f6,0x2381723118870257c5ea6183281724930247afea,0x1111111254eeb25477b68fb85ed929f73a960582,0.0,WETH,3.738993026255509,2024-01-14 09:40:11
0x9d2fa1fc0fcc4f408bf8f4ca7d7923a93299bbef99ddabe4764d486c297753f6,0x2381723118870257c5ea6183281724930247afea,0x1111111254eeb25477b68fb85ed929f73a960582,0.0,USDC,9467.808786,2024-01-14 09:40:11
0x23f34096be648fd087f3e6d0fba3a357a850eb9d2d777203c49a4b2b8f4c7294,0x2381723118870257c5ea6183281724930247afea,0xe592427a0aece92de3edee1f18e0157c05861564,0.0,WETH,3.9002715224109585,2024-01-13 19:08:35
0x23f34096be648fd087f3e6d0fba3a357a850eb9d2d777203c49a4b2b8f4c7294,0x2381723118870257c5ea6183281724930247afea,0xe592427a0aece92de3edee1f18e0157c05861564,0.0,USDC,9966.114512,2024-01-13 19:08:35
0x7509849107574e65bc8903dc34e491af6f2118e51538bf69def0840fcfd8778f,0x2381723118870257c5ea6183281724930247afea,0xe592427a0aece92de3edee1f18e0157c05861564,0.0,USDT,10114.496515,2024-01-10 19:37:23
0x7509849107574e65bc8903dc34e491af6f2118e51538bf69def0840fcfd8778f,0x2381723118870257c5ea6183281724930247afea,0xe592427a0aece92de3edee1f18e0157c05861564,0.0,WETH,3.8887178891769696,2024-01-10 19:37:23
0x1bba06556fcc519ce0bddc6e3220928fa63f5abbea6c8dcdcfe026624c763acb,0x2381723118870257c5ea6183281724930247afea,0xe592427a0aece92de3edee1f18e0157c05861564,0.0,WETH,4.1197905538567285,2024-01-10 19:26:35
0x1bba06556fcc519ce0bddc6e3220928fa63f5abbea6c8dcdcfe026624c763acb,0x2381723118870257c5ea6183281724930247afea,0xe592427a0aece92de3edee1f18e0157c05861564,0.0,USDT,10646.838437,2024-01-10 19:26:35
0x08f16e5e0850e228e1bd4c8658cdf7510c0244ec1a14cd94318c02b537dafb24,0x2381723118870257c5ea6183281724930247afea,0x1111111254eeb25477b68fb85ed929f73a960582,0.0,WETH,0.009814760093413793,2024-01-09 19:08:11
